"","Productid","Productname","Quantity"
"63",76,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - Army S",10
"64",77,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - Army M",25
"65",78,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - Army L",26
"66",79,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - Army XL",20
"67",80,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - Army 2XL",30
"68",81,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - Army 3XL",20
"69",82,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - Black 3XL",24
"70",83,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - Black 2XL",34
"71",84,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - Black XL",61
"72",85,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - Black L",28
"73",86,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - Black M",42
"74",87,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - Black S",37
"75",88,"Independent Trading Company Hooded Sweatshirt IND4000 - Royal Blue 3XL",33
"76",89,"Independent Trading Company Hooded Sweatshirt IND4000 - Royal Blue 2XL",3
"77",90,"Independent Trading Company Hooded Sweatshirt IND4000 - Royal Blue XL",23
"78",91,"Independent Trading Company Hooded Sweatshirt IND4000 - Royal Blue L",34
"79",92,"Independent Trading Company Hooded Sweatshirt IND4000 - Royal Blue M",26
"80",93,"Independent Trading Company Hooded Sweatshirt IND4000 - Royal Blue S",32
"81",94,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - Charcoal Heather 3XL",23
"82",95,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - Charcoal Heather 2XL",27
"83",96,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - Charcoal Heather XL",78
"84",97,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - Charcoal Heather L",68
"85",98,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - Charcoal Heather M",40
"86",99,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - Charcoal Heather S",33
"87",108,"Gildan® DryBlend™ 50/50 T-shirt 8000",0
"88",109,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - Grey Heather 3XL",21
"89",110,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - Grey Heather 2XL",31
"90",111,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - Grey Heather XL",22
"91",112,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - Grey Heather L",50
"92",113,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - Grey Heather M",39
"93",114,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - Grey Heather S",36
"94",115,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - Gunmetal Heather 3XL",38
"95",116,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - Gunmetal Heather 2XL",19
"96",117,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - Gunmetal Heather XL",35
"97",118,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - Gunmetal Heather L",44
"98",119,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - Gunmetal Heather M",42
"99",120,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - Gunmetal Heather S",27
"100",121,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - Navy 3XL",9
"101",122,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - Navy 2XL",30
"102",123,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - Navy XL",28
"103",124,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - Navy L",33
"104",125,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - Navy M",31
"105",126,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - Navy S",33
"106",127,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - Red 3XL",15
"107",128,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - Red 2XL",41
"108",129,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - Red XL",50
"109",130,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - Red L",37
"110",131,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - Red M",28
"111",132,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - Red S",23
"112",133,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - White 3XL",22
"113",134,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - White 2XL",15
"114",135,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - White XL",12
"115",136,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - White L",25
"116",137,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - White M",38
"117",138,"Independent Trading Company Full Zip Hooded Sweatshirt IND4000Z - White S",28
"118",139,"Independent Trading Company Hooded Sweatshirt IND4000 - Cardinal 3XL",19
"119",140,"Independent Trading Company Hooded Sweatshirt IND4000 - Cardinal 2XL",32
"120",141,"Independent Trading Company Hooded Sweatshirt IND4000 - Cardinal XL",30
"121",142,"Independent Trading Company Hooded Sweatshirt IND4000 - Cardinal L",36
"122",143,"Independent Trading Company Hooded Sweatshirt IND4000 - Cardinal M",31
"123",144,"Independent Trading Company Hooded Sweatshirt IND4000 - Cardinal S",22
"124",145,"Hanes® TAGLESS® 6.1 Tee 5250 - White S",0
"125",146,"Hanes® TAGLESS® 6.1 Tee 5250 - White M",0
"126",147,"Hanes® TAGLESS® 6.1 Tee 5250 - White L",0
"127",148,"Hanes® TAGLESS® 6.1 Tee 5250 - White XL",0
"128",149,"Hanes® TAGLESS® 6.1 Tee 5250 - White 2XL",0
"129",150,"Hanes® TAGLESS® 6.1 Tee 5250 - White 3XL",0
"130",151,"Hanes® TAGLESS® 6.1 Tee 5250",0
"131",152,"Independent Trading Co. Pullover Hooded Sweatshirt AFX4000",0
"132",153,"Independent Trading Company Pullover Hooded Sweatshirt AFX4000 - Black 2XL",41
"133",154,"Independent Trading Company Pullover Hooded Sweatshirt AFX4000 - Black XL",33
"134",155,"Independent Trading Company Pullover Hooded Sweatshirt AFX4000 - Black L",27
"135",156,"Independent Trading Company Pullover Hooded Sweatshirt AFX4000 - Black M",59
"136",157,"Independent Trading Company Pullover Hooded Sweatshirt AFX4000 - Black S",47
"137",158,"Independent Trading Company Pullover Hooded Sweatshirt AFX4000 - Charcoal Heather 2XL",32
"138",160,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - White S",25
"139",161,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - White M",36
"140",162,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - White L",1
"141",163,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - White XL",0
"142",164,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - White 2XL",76
"143",165,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - White 3XL",32
"144",166,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Ash S",45
"145",167,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Ash M",26
"146",168,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Ash L",0
"147",169,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Ash XL",42
"148",170,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Ash 2XL",39
"149",171,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Ash 3XL",16
"150",172,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Sport Grey S",104
"151",173,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Sport Grey M",60
"152",174,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Sport Grey L",0
"153",175,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Sport Grey XL",0
"154",176,"Gildan® Ultra Cotton® T-shirt 2000 - Natural S	 ",132
"155",177,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Sport Grey 2XL",96
"156",178,"Gildan® Ultra Cotton® T-shirt 2000 - Natural M	 ",93
"157",179,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Sport Grey 3XL",65
"158",180,"Gildan® Ultra Cotton® T-shirt 2000 - Natural L	 ",116
"159",181,"Gildan® Ultra Cotton® T-shirt 2000 - Natural XL	 ",208
"160",182,"Gildan® Ultra Cotton® T-shirt 2000 - Natural 2XL	 ",44
"161",183,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Black S",194
"162",184,"Gildan® Ultra Cotton® T-shirt 2000 - Natural 3XL	 ",27
"163",185,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Black M",142
"164",186,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Black L",66
"165",187,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Black XL",110
"166",188,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Black 2XL",39
"167",189,"Gildan® Ultra Cotton® T-shirt 2000 - White S	 ",893
"168",190,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Black 3XL",94
"169",191,"Gildan® Ultra Cotton® T-shirt 2000 - White M	 ",836
"170",192,"Gildan® Ultra Cotton® T-shirt 2000 - White L	 ",1483
"171",193,"Gildan® Ultra Cotton® T-shirt 2000 - White XL	 ",1532
"172",194,"Gildan® Ultra Cotton® T-shirt 2000 - White 2XL	 ",611
"173",195,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Charcoal S",46
"174",196,"Gildan® Ultra Cotton® T-shirt 2000 - White 3XL",279
"175",197,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Charcoal M",0
"176",198,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Charcoal XL",0
"177",199,"Gildan® Ultra Cotton® T-shirt 2000 - White 4XL	 ",206
"178",200,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Charcoal L",64
"179",201,"Gildan® Ultra Cotton® T-shirt 2000 - White 5XL	 ",80
"180",202,"Gildan® Ultra Cotton® T-shirt 2000 - Ash Grey S 	 ",560
"181",203,"Gildan® Ultra Cotton® T-shirt 2000 - Ash Grey M 	 ",346
"182",204,"Gildan® Ultra Cotton® T-shirt 2000 - Ash Grey L 	 ",307
"183",205,"Gildan® Ultra Cotton® T-shirt 2000 - Ash Grey XL 	 ",266
"184",206,"Gildan® Ultra Cotton® T-shirt 2000 - Ash Grey 2XL 	 ",162
"185",207,"Gildan® Ultra Cotton® T-shirt 2000 - Ash Grey 3XL 	  ",104
"186",208,"Gildan® Ultra Cotton® T-shirt 2000 - Ash Grey 4XL 	 ",7
"187",209,"Gildan® Ultra Cotton® T-shirt 2000 - Ash Grey 5XL 	 ",19
"188",210,"Gildan® Ultra Cotton® T-shirt 2000 - Sport Grey S	 ",332
"189",211,"Gildan® Ultra Cotton® T-shirt 2000 - Sport Grey M	 ",321
"190",212,"Gildan® Ultra Cotton® T-shirt 2000 - Sport Grey L	 ",601
"191",213,"Gildan® Ultra Cotton® T-shirt 2000 - Sport Grey XL	 ",476
"192",214,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Charcoal 2XL",6
"193",215,"Gildan® Ultra Cotton® T-shirt 2000 - Sport Grey 2XL	 ",70
"194",216,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Charcoal 3XL",39
"195",217,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500",0
"196",218,"Gildan® Ultra Cotton® T-shirt 2000 - Sport Grey 3XL	 ",129
"197",219,"Gildan® Ultra Cotton® T-shirt 2000 - Sport Grey 4XL	 ",90
"198",220,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Cherry Red S",0
"199",221,"Gildan® Ultra Cotton® T-shirt 2000 - Sport Grey 5XL	 ",30
"200",222,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Cherry Red M",0
"201",223,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Cherry Red L",0
"202",224,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Cherry Red XL",0
"203",225,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Cherry Red 2XL",0
"204",226,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Cherry Red 3XL",0
"205",227,"Gildan® Ultra Cotton® T-shirt 2000 - Black S	 ",822
"206",228,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Dark Chocolate S",52
"207",229,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Dark Chocolate M",50
"208",230,"Gildan® Ultra Cotton® T-shirt 2000 - Black M	  ",1081
"209",231,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Dark Chocolate L",74
"210",232,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Dark Chocolate XL",41
"211",233,"Gildan® Ultra Cotton® T-shirt 2000 - Black L 	 ",1269
"212",234,"Gildan® Ultra Cotton® T-shirt 2000 - Black XL	 ",1372
"213",235,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Dark Chocolate 2XL",37
"214",236,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Dark Chocolate 3XL",43
"215",237,"Gildan® Ultra Cotton® T-shirt 2000 - Black 2XL	 ",215
"216",238,"Gildan® Ultra Cotton® T-shirt 2000 - Black 3XL	 ",0
"217",239,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Dark Heather S",34
"218",240,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Dark Heather M",114
"219",241,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Dark Heather L",125
"220",242,"Gildan® Ultra Cotton® T-shirt 2000 - Black 4XL 	 ",1
"221",243,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Dark Heather XL",139
"222",244,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Dark Heather 2XL",50
"223",245,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Dark Heather 3XL",31
"224",246,"Gildan® Ultra Cotton® T-shirt 2000 - Black 5XL	 ",39
"225",247,"Gildan® Ultra Cotton® T-shirt 2000 - Cardinal Red S	 ",225
"226",248,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Forest Green S",43
"227",249,"Gildan® Ultra Cotton® T-shirt 2000 - Cardinal Red M	 ",210
"228",250,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Forest Green M",20
"229",251,"Gildan® Ultra Cotton® T-shirt 2000 - Cardinal Red L	 ",338
"230",252,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Forest Green L",28
"231",253,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Forest Green XL",21
"232",254,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Forest Green 2XL",29
"233",255,"Gildan® Ultra Cotton® T-shirt 2000 - Cardinal Red XL	 ",362
"234",256,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Forest Green 3XL",35
"235",257,"Gildan® Ultra Cotton® T-shirt 2000 - Cardinal Red 2XL	 ",102
"236",258,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Light Blue S",5
"237",259,"Gildan® Ultra Cotton® T-shirt 2000 - Cardinal Red 3XL	  ",62
"238",260,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Light Blue M",4
"239",261,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Light Blue L",6
"240",263,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Light Blue XL",4
"241",264,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Light Blue 2XL",5
"242",265,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Light Blue 3XL",0
"243",266,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Light Pink S",21
"244",267,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Light Pink M",21
"245",268,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Light Pink L",40
"246",269,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Light Pink XL",34
"247",270,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Light Pink 2XL",11
"248",271,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 - Light Pink 3XL",14
"249",272,"Gildan® Ultra Cotton® T-shirt 2000 - Carolina Blue S	 ",63
"250",273,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 – Maroon S",39
"251",274,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 – Maroon M",42
"252",275,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 – Maroon L",42
"253",276,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 – Maroon XL",55
"254",277,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 – Maroon 2XL",51
"255",278,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 – Maroon 3XL",22
"256",279,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 – Military Green S",33
"257",280,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 – Military Green M",26
"258",281,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 – Military Green L",21
"259",282,"Gildan® Ultra Cotton® T-shirt 2000 - Carolina Blue M	 ",57
"260",283,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 – Military Green XL",29
"261",284,"Gildan® Ultra Cotton® T-shirt 2000 - Carolina Blue L	 ",72
"262",285,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 – Military Green 2XL",0
"263",286,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 – Military Green 3XL",21
"264",287,"Gildan® Ultra Cotton® T-shirt 2000 - Carolina Blue XL	 ",99
"265",288,"Gildan® Ultra Cotton® T-shirt 2000 - Carolina Blue 2XL	 ",167
"266",289,"Gildan® Ultra Cotton® T-shirt 2000 - Carolina Blue 3XL	 ",34
"267",290,"Gildan® Ultra Cotton® T-shirt 2000 - Charcoal S	 ",387
"268",291,"Gildan® Ultra Cotton® T-shirt 2000 - Charcoal M	 ",174
"269",292,"Gildan® Ultra Cotton® T-shirt 2000 - Charcoal L	 ",56
"270",293,"Gildan® Ultra Cotton® T-shirt 2000 - Charcoal XL	 ",168
"271",294,"Gildan® Ultra Cotton® T-shirt 2000",0
"272",295,"Gildan® Ultra Cotton® T-shirt 2000 - Charcoal 2XL	 ",149
"273",296,"Gildan® Ultra Cotton® T-shirt 2000 - Charcoal 3XL	 ",78
"274",297,"Gildan® Ultra Cotton® T-shirt 2000 - Charcoal 4XL	 ",24
"275",298,"Gildan® Ultra Cotton® T-shirt 2000 - Charcoal 5XL	 ",69
"276",299,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 – Navy S",59
"277",300,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 – Navy M",60
"278",301,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 – Navy L",82
"279",302,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 – Navy XL",70
"280",303,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 – Navy 2XL",59
"281",304,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 – Navy 3XL",24
"282",305,"Gildan® Ultra Cotton® T-shirt 2000 - Maroon S	  ",97
"283",306,"Gildan® Ultra Cotton® T-shirt 2000 - Maroon M	 ",140
"284",307,"Gildan® Ultra Cotton® T-shirt 2000 - Maroon L	 ",141
"285",308,"Gildan® Ultra Cotton® T-shirt 2000 - Maroon XL	 ",164
"286",309,"Gildan® Ultra Cotton® T-shirt 2000 - Maroon 2XL	 ",116
"287",310,"Gildan® Ultra Cotton® T-shirt 2000 - Maroon 3XL	 ",137
"288",311,"Gildan® Ultra Cotton® T-shirt 2000 - Maroon 4XL	 ",33
"289",312,"Gildan® Ultra Cotton® T-shirt 2000 - Maroon 5XL	 ",19
"290",313,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 – Purple S",25
"291",314,"Gildan® Ultra Cotton® T-shirt 2000 - Cherry Red	 S ",0
"292",315,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 – Purple M",39
"293",316,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 – Purple L",44
"294",317,"Gildan® Ultra Cotton® T-shirt 2000 - Cherry Red	 M",0
"295",318,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 – Purple XL",31
"296",319,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 – Purple 2XL",56
"297",320,"Gildan® Ultra Cotton® T-shirt 2000 - Cherry Red	 L",0
"298",321,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 – Purple 3XL",14
"299",322,"Gildan® Ultra Cotton® T-shirt 2000 - Cherry Red	 XL",0
"300",323,"Gildan® Ultra Cotton® T-shirt 2000 - Cherry Red	 2XL",0
"301",324,"Gildan® Ultra Cotton® T-shirt 2000 - Cherry Red	 3XL",0
"302",325,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 – Red S",27
"303",326,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 – Red M",37
"304",327,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 – Red L",24
"305",328,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 – Red XL",41
"306",329,"Gildan® Ultra Cotton® T-shirt 2000 - Chestnut S	 ",0
"307",330,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 – Red 2XL",53
"308",331,"Gildan® Ultra Cotton® T-shirt 2000 - Chestnut M	 ",0
"309",332,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 – Red 3XL",14
"310",333,"Gildan® Ultra Cotton® T-shirt 2000 - Chestnut L	 ",0
"311",334,"Gildan® Ultra Cotton® T-shirt 2000 - Chestnut XL	 ",0
"312",335,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 – Royal S",38
"313",336,"Gildan® Ultra Cotton® T-shirt 2000 - Chestnut 2XL",0
"314",337,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 – Royal M",8
"315",338,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 – Royal L",18
"316",339,"Gildan® Ultra Cotton® T-shirt 2000 - Chestnut 3XL	 ",0
"317",340,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 – Royal XL",50
"318",341,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 – Royal 2XL",5
"319",342,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 – Royal 3XL",36
"320",343,"Gildan® Heavy Blend™ Hooded Sweatshirt 18500 – Sand S",13
"321",344,"Gildan® Ultra Cotton® T-shirt 2000 - Daisy S	 ",136
