"","text","score"
"29","#Hot #Deals: #Adidas #Yeezy #Boost 350 V2 CP9366 TRIPLE WHITE #KanyeWest CREAM DS SIZE: 12 https://t.co/HQnWwPFwD3… https://t.co/azMQ3WcXNw",2
"30","#Yeezy #Sale: #Adidas #YeezyBoost350 #Boost V2 Cream White Size 5.5 LIMITED 100% Authentic https://t.co/qtmBUMM1bN… https://t.co/cQaakBWv8L",1
"31","#Deals #Shoes #Adidas #Yeezy #Boost 350 V2 Cream Mens Size 8.5 CP9366 w/ Receipt Kanye White… https://t.co/peBoYec0gs",1
"32","<U+2764><U+2764><ed><U+00A0><U+00BD><ed><U+00B2><U+009C>#GiftCard #Coupon $4 -- Cute &amp; NEW! STARBUCKS 2017 KOREA CHERRY BLOSSOM Die Cut Gift Card #Discount #Bargains…… https://t.co/a6OIAdJ9QO",1
"33","#New #Shoes #Adidas #Yeezy #Boost 350 v2 Cream White Size 9.5 Dead Stock CP9366 Trusted Seller… https://t.co/tKJ42CqXjW",1
"35","#Yeezy #Shoes: #Adidas yeezy #Boost 350 v2 white cream triple white https://t.co/k5pNVFLQkA https://t.co/dbrm3JoYpT",1
"36","#Shoes #Buzz: #Adidas #YeezyBoost350 #Yeezy #Boost V2 Cream Mens Size 8.5 CP9366 w/ Receipt Kanye White… https://t.co/i4ntVf3zEi",1
"43","#Fashion New #Adidas #YeezyBoost350 #Yeezy #Boost V2 Cream White size 5 SHIP NOW https://t.co/FWiyrDD8Tk #Shoes https://t.co/Xf5qwWVHXn",1
"44","#Boost #Shoes: #Adidas #YeezyBoost350 #Yeezy V2 Cream Mens Size 8.5 CP9366 w/ Receipt Kanye White… https://t.co/cXp6gHAYEa",1
"47","#ebay #deal Cute Scrubber Sponges Flower Exfoliating B...: Cute Scrubber Sponges Flower Exfoliating Body…… https://t.co/ez62dSELsw",2
"48","# Disney Parks Magic Band LE 1500 Dooney &amp; Bourke DISNEYANA MagicBand Castle World https://t.co/eZJO47IbPR https://t.co/oagcwZMeMr",1
"50","#Yeezy #Store: #Adidas Yeezy #Boost 350 V2 Triple White Cream Core CP9366 Sz US 11.5 In-hand now… https://t.co/b30NvbcqtD",1
"51","#Fashion #Zone: launch percent authentic #Yeezy 350 #Boost V2 cream core White Size 9.5 https://t.co/dY8YfvdZpk… https://t.co/aoY367g9rO",2
"52","<U+2764>#NinaDobrev Free People Purple Crochet Cuff Henley Top XS Vampire Diaries #ElenaGilbert Rare #TheVampireDiaries… https://t.co/OI1CznzAi4",2
"53","#Yeezy #Sales: #Adidas Yeezy #Boost 350 V2 Cream White Sz9.5 https://t.co/ulithaJwDG https://t.co/HVbpTZiSm1",1
"54","#Shoe #Sales: #Adidas #YeezyBoost350 #Yeezy #Boost V2 CREAM/TRIPLE WHITE CP9366 SIZE 9 On Hand!!: $549.99 End…… https://t.co/vl5Zd4zJ1u",1
"56","#Yeezy #Shoes: #Adidas #YeezyBoost350 #Boost #KanyeWest CREAM TRIPLE WHITE CP9366 NEW SIZE 12… https://t.co/zTCsgMvmRa",1
"57","Love this <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> Women Black Long Sleeve Pleated Dress Two ... https://t.co/JpmvtUon03 #eBay #deals https://t.co/3hHxsl6BaM",1
"59","#Yeezy Boost 350 V2 'Cream White' CP9366 Size 8 Men's https://t.co/5M1O15wY4S #Boost #Shoes https://t.co/mXYhzzw9mV",2
"60","<U+2764><U+2764><U+2764>#Workout #Health New Sealed Quick Start #Yoga (#DVD, 2013k)o Energy Begin Flow Abs Tone Strong Back…… https://t.co/Jxa08zNAwh",1
"64","#Good #Nike Air Jordan 1 #Retro High OG Banned Bred Black Red 555088-001 Men's Size 17 #Shoes #Share https://t.co/8xl0Bcl8St",1
"65","<U+2764><U+2764>#NASCAR #Autosport 2016 Jimmie Johnson Lowes ELITE Champion year Liquid Color car 1 of 24 RARE #Auction #Cheap… https://t.co/0KxTwfNfxq",2
"66","#Yeezy #Boost: yeezy 350 boost v2 Cream White Size 8 https://t.co/meQhOV1kaz https://t.co/sHEXXe8zBe",2
"67","#Shoes #Buzz: #Yeezy #Boost 350 V2 'Cream White' CP9366 Size 8 Men's https://t.co/SDPPB0PVXz https://t.co/QRQj1qOk9P",1
"70","<U+2764>#NBA #Westbrook #RussellWestbrook 2010-11 SP Authentic By The Letter Auto BGS9.5 #Thunder #Auction… https://t.co/H8eLMU4h9v",1
"75","eBay: Apple iPhone 6 - 64GB - Gold (Verizon) Smartphone https://t.co/pdWnOIR8TP #apple #iphone #ios https://t.co/ssShamGCUh",1
"76","#Yeezy #Fashion: #Adidas #YeezyBoost350 Yeezy #Boost V2 CP9366 TRIPLE WHITE KANYE WEST CREAM DS SIZE: 12… https://t.co/YavxMUVFDE",1
"78","#Hot #Sales: #YeezyBoost350 #Yeezy #Boost V2 'Cream White' CP9366 Size 8 Men's: $520.00 End Date: Saturday…… https://t.co/9FmPUUSgQo",2
"79","L L B #Singer #Actress NEW - JANET JACKSON DESIGN OF A DECADE GREATEST HITS VINYL (NOT RSD2017) SEALED #Auction… https://t.co/npnV9gcIY4",1
"81","#Yeezy #Boost: #Adidas Yeezy 350 Boost V2 Solar Red Stripe BY9612 #KanyeWest New https://t.co/RUTb4bEJDn https://t.co/hz8Jm3xVCT",2
"82","You Have Paid An Arm And A Leg For College - Why Not Succeed At It? - https://t.co/iOoFcc3BXY",1
"87","#Adidas YEEZY BOOST 350 V2 CP9366 TRIPLE WHITE #KanyeWest CREAM DS SIZE: 12 https://t.co/d0mOLbUf9h #Yeezy #Boost https://t.co/G2yC0qiOXW",2
"92","Adidas #Yeezy Boost 350 v2 Core Black Red CP9652 Size 10.5 https://t.co/yU5o1wEcEF #Shoes #Shoe https://t.co/VHT2JWx5Vi",1
"94","#Fashion #Style: #Yeezy350 Yeezy #Boost v2 Cream White Size 8 https://t.co/8IEvYUr9AE #Yeezy https://t.co/Hflm8ZMi1D",1
"99","# Lot of 2 1970's South Africa Marvel Comics CAPTAIN AMERICA &amp; THOR Donny Osmond https://t.co/KLxcJBxn70 https://t.co/TFQqa4ug6Z",1
"100","RT @Playurecards: RETWEET &amp; FOLLOW @LilEddies 4 a chance 2 #WIN a #PRIZE 

https://t.co/FiCpDJMPlr

#ThursdayThoughts #sunglasses #watches…",2
"108","RT @PixieLott: Please support Alzheimer's Research UK's vital work by bidding on my signed charity t-shirt! https://t.co/v6WgKIAy7c @ARUKne…",2
"110","# J. CREW Fireman's Jacket, Black, Size M, Waxed Cotton, Great for Spring https://t.co/LGNLhKu9he https://t.co/Cj2ERFGfkw",1
"112","#Baseball #RedSox David Ortiz Authentic #Signed 3x5 Index Card Autographed BAS Slabbed https://t.co/54c47VEzxp #MLB… https://t.co/uDCPvwjd5V",1
"116","#CellPhone #Accessories: Boston #RedSox Otterbox DEFENDER Series - CASE for #iPhone 5C w/ Belt Clip - Used… https://t.co/0anlLghoUv",1
"126","<U+2767>• JESSICA LONDON PLUS 18/20 NEW BLUE RAYON CONVERTIBLE STRAPLESS DRESS/M... Going fast https://t.co/BvEChAo0YN https://t.co/683CfmVLSP",1
"128","#Legendary #Rocker Out of Order by Rod Stewart (#CD, Oct-1990, Warner Bros.) https://t.co/CR5MoPKkDh #RodStewart",1
"129","#Adidas #Yeezy Boost 350 v2 ""Cream White"" Low SPLY Kanye West Size 13 https://t.co/BqtJtEayuI #KanyeWest #Style https://t.co/qUJzNAVImH",1
"131","#Legendary #Rocker Rod Stewart – Smiler ORIG.US LP https://t.co/2xJFM3fsmk #RodStewart https://t.co/TMXohtRxu0",1
"133","Check out what I found. Ladies Gold Silky Feel Long Sleeved Shirt By Next Size 14 https://t.co/4HgpIN2Gzv via @eBay_UK",1
"136","#KanyeWest #HipHop Kanye West Saint Pablo Tour Merch NY White S/S Shirt General Admission M-XXL… https://t.co/fHb44H8I7r",1
"137","#Top *NEW* #Fitbit #Surge #Fitness *Superwatch*, Black Color - Small Size https://t.co/N4fv2X0DeI #Sports #Deal https://t.co/XotnT8pg3E",1
"138","My Christmas - Andrea Bocelli (#CD Used Very Good) https://t.co/1o2akWSyHi #Classical #Tenor https://t.co/yEJ03r1DAK",1
"139","#Sexy #Beauty: MAUI FANTASY by #BritneySpears 3.4 3.3 oz 100 ml Women Perfume EDT Spray NIB https://t.co/R63lWAuenq https://t.co/H7Iu4M8SNP",2
"141","Check out what I found. Nude by Nature Sheer Glow BB Cream 15ml Travel Size  02 Soft Sand - Brand New https://t.co/YPMoGtOMLK via @eBay_UK",2
"149","#Nice #Nike HyperRev 2016 Omega Blue/Black/White Sz 12 NBA Russell Westbrook #Retro RARE https://t.co/MEGCi21j0O #Athletic #Shoes",1
"163","RT @PixieLott: Please support Alzheimer's Research UK's vital work by bidding on my signed charity t-shirt! https://t.co/v6WgKIAy7c @ARUKne…",2
"165","New on Ebay UK Game Of Thrones Season 6 (DVD) Complete - Region 2 UK Brand New Sealed FREE P+P… https://t.co/FQ7WOLrQuo",1
"166","Tile Mate Bluetooth Smart Key Finder Phone Finder Free U.S. Shipping! https://t.co/S4ivlSx8EX https://t.co/D9fbvpdYMX",2
"168","# WOMENS JEAN JACKET BY J CREW SIZE XS IN PERFECT CONDITION https://t.co/6adBAAJvm7 https://t.co/Av7veKCj0D",1
"169","New on Ebay UK GAME OF THRONES Season 6 DVD Region 2 New Sealed UK https://t.co/ITsGXmokFD Game of Thrones best https://t.co/B6GjCKjFk6",1
"172","Check out 14k Diamond Mom Heart Pendant Charm Yellow Gold 744 #Unbranded #Pendant https://t.co/uE7NdjaBUm via @eBay",2
"173","# New Ladies Womens Warm Faux Fur Fox Coat Jacket Winter Parka Outerwear Gray XL https://t.co/15Sg84gs3Y https://t.co/iogceXGeE7",1
"185","Apple AirPods Airpod Air Pods Wireless in-ear earbud White Genuine NEW SEALED https://t.co/dmPp8K0Gg7 https://t.co/OImnSe5mAX",1
"188","Super Mario Maker Nintendo Wii U Complete w/ Case, Booklet, Game, Box https://t.co/wnp3Gy5bUX https://t.co/9FHqcL71pZ",1
"189","Apple AirPods - White MMEF2AM/A Genuine Factory Sealed Brand New Retail Box  https://t.co/bsjYwICNFT https://t.co/ZMOtXTTpT9",1
"190","#BestSellers #ebay #Authentic #FreeShipping  Iron-On Rectangles 3/4Inx1In 12/Pkg-Black 093095 New… https://t.co/9uMIYSAEOV",1
"195","#BestSellers #ebay #Authentic #FreeShipping  National Brand Alternative 663027 Electric Door Bell 2-1/2In NEW… https://t.co/VIo04fiA9q",1
"197","#eBay #Authentic #FreeShipping #DynamitePrice Iron-On Rectangles 3/4Inx1In 12/Pkg-Black 093095 New… https://t.co/OEWFbSt8go",1
"199","<U+2663><U+273F> Precious Moments Enesco Book Bank No 232610 NIB U415 https://t.co/g3aFEGTVh6 https://t.co/TDIifKqsXK",1
"201","Super Mario Maker Nintendo Wii U Complete w/ Case, Booklet, Game, Box https://t.co/BrQtyFaRHw https://t.co/3mMpHa9839",1
"202","<U+272F><U+2741> DENIM 24/7 PLUS 24W NEW WHITE SHEER CRISS CROSS SHOULDERS LONG SLEEVE... Great offer https://t.co/ZCagUKDCvn https://t.co/Z0fyqelKuq",1
"204","Who wants to ""try"" at 99¢? New listing: Eric Thames Bowman Platinum Prospect Refractor Auto HOT non-PEDs https://t.co/7JtyJ79pCR @eBay",1
"207","GTA V New en ebay: Grand Theft Auto V (Microsoft Xbox One, 2014)Fast Shipping! SEALED! https://t.co/8tJhLg8dNA https://t.co/i7PmhC3vSR",2
"208","Alakazam Gold Star Holo Crystal Guardians Japanese EX #Pokemon Card
<ed><U+00A0><U+00BC><ed><U+00BC><U+0090><U+FE0F> https://t.co/IgNLAzT1jm https://t.co/3X8fbkGRP3",1
"209","GTA V New en ebay: Grand Theft Auto V w/ Map Poster (Microsoft Xbox One, 2014) GTA Five ROCKSTAR… https://t.co/jvB39offnj",1
"210","NEW! NEON Nintendo Switch 32 GB -  Console * Ready To Ship Same Day Fast https://t.co/07inHI0EC5 #switch #nintendo… https://t.co/JfHt7TXVey",2
"211","2.00ct Round Cut Diamond Stud Earrings 14k Gold Moissanite Charles &amp; Colvard https://t.co/zdjieoQLMV https://t.co/i1ALdHKP29",1
"213","GTA V New en ebay: Brand New Sealed Microsoft Xbox One Grand Theft Auto V GTA 5 Five SHIP FAST US… https://t.co/LWldZQbnBI",2
"214","1969 Dodge Other HARDTOP 1969 SUPER BEE CORONET WM23 HARDTOP 440, HEMI 4 SPEED, DANA, N96 FRESH AIR CAR: $5,655.00…… https://t.co/PyzDUbqxWr",2
"215","Disneyland Tickets - 3Day, 1-Park Per Day w/ Magic Morning (Tickets for 3 ppl) https://t.co/7cQ5n8kjA0",1
"217","GTA V New en ebay: Grand Theft Auto 5 GTA V  (Xbox 360) Collector's Edition steel case https://t.co/uXzPARSvkY https://t.co/hgYanS2GzZ",1
"218","Check out Evelyn Grace Cashmere Short Sleeve Cardigan Salmon Pink Color Size Large https://t.co/9cYIpkBoxq @eBay",1
"228","Check out Girl's Michael Kors Canvas Gold Low Cut Tennis Signature Sneakers Size 10 https://t.co/dt1w3vEUkO @eBay",1
"229","Check out GERMANY - 1888 - A - GOLD COIN 10 MARK - PREUSSEN EX.FINE! Prussia Friedrich III  https://t.co/OxFJtdC8z4 via @eBay",1
"234","Air jordan fire red 5 Sz. 8.5 Good Condition Ready To Wear.  https://t.co/OOKts2IQfL",2
"237","NEW AUTHENTIC NIKE AIR JORDAN 1 RETRO MID US 13  https://t.co/q7MFzmOPhk",1
"239","RT @retrodeals: Super Mario Maker ( #Nintendo 3DS, 2016) #retrogaming #ebay https://t.co/HYzUuKIn00 https://t.co/JcXx6lVKVr",1
"245","nike air jordan AJ1 KO high mens hi top trainers 638471 403 sneakers shoes https://t.co/NgqXfdodC7",1
"246","Check out Super Mario Bros. Field Design Sea Ver Glass 30th Anniversary JAPAN GAME FAMICOM  https://t.co/Ex6SgDKTQS via @eBay",1
"247","SUPREME X NIKE AIR MORE UPTEMPO SUPTEMPO RED WHITE SS17 SIZE 9 https://t.co/0SjY2pcfbC",1
"249","Nike Air Max 90 Ultra 2.0 Flyknit SZ 15 White Wolf Bright Crimson 875943-100 https://t.co/deY0frwaZk",1
"254","# The Golden Story Treasury Hardback Vintage Children's Book 1951 https://t.co/YHgaRuWX9l https://t.co/DHcvttHSr2",1
"256","2006 Nike Air Jordan 1 Retro High BLACK TOE Old Love Pack Size 11 Authentic RARE https://t.co/pzvYQxKTVC",2
"259","Black Genuine Zipper Crocodile Leather Women Wallet Alligator Belly Skin Bags https://t.co/3HK2vHfAVO #ebay #paypal… https://t.co/0rhovEcbVg",1
"262","Nike Air Max 90 Ultra 2.0 Flyknit SZ 10.5 White Wolf Bright Crimson 875943-100 https://t.co/rSDTfW5A9k",1
"274","Nike Air Jordan 7 VII Retro Black Gold GMP Golden Moments Size 13. 535357-935 https://t.co/3xatWX0Q4U",2
"280","Bonnie McKee on Gold Gate Bridge bought a 8D Quad-Row 1800W 52Inch Curved CREE LED Light Bar Flood Spot Driving VS…… https://t.co/n11qQTxpss",2
"282","Bonnie McKee on Gold Gate Bridge bought a 12 White Gurglers Ast sizes Bass Pike, Musky w/wd guard $6.99 via eBay… https://t.co/nTvhgGJx7X",1
"294","Check out Reebok Women's Seamless Hipster Training Performance Underwear Size Small 2pair https://t.co/m4975B6tR7 @eBay",1
"299","#Yeezy #Center: DeadStock #Moonrock Yeezy 350 #Boost Size 11 100% Authentic https://t.co/NX6dtspk4Y #Shoe https://t.co/Bzc42DofbY",2
"301","MARVEL Comics HULK #1 1962 4.0 CGC 1ST app man avengers incredible Grey https://t.co/drbEF8we5x https://t.co/0lvmThi2Ac",2
"311","#Stylish #Shoe: DeadStock #Moonrock #Yeezy 350 #Boost Size 11 100% Authentic https://t.co/4yZnN6oiPt https://t.co/szkFqoSkNy",3
"315","eBay: Boyds Bears Gen-Yoo-Wine MA SHEN SAN PANDA Bear Large 16"" Jointed TEDDY Plush https://t.co/yNL716Cb3P… https://t.co/YgeEXJ8yG7",1
"316","1936 Chevrolet Other Pickups 1936 Chevy Hot Rod pickup truck https://t.co/xeYM8DGfq2",1
"319","#NBA Draymond Green 2016-17 Donruss Optic #138 Golden State Warriors https://t.co/52kZYaYrS4 #AllStar https://t.co/NVw4HLMwc8",1
"322","Check out Genuine Epson 676 XL Pro Yellow Ink Cartridge DuraBrite C13T676420 exp 12/2017 https://t.co/K5JhInL5gl @eBay",1
"328","Genuine california pure gold nuggets. .184 gram total(bb14): $9.99 (0 Bids) End Date… https://t.co/alWC5Iq8on",3
"329","Genuine california pure gold nuggets. .10 gram total(bb13): $4.99 (0 Bids) End Date: Friday… https://t.co/9KHj9X1yHS",3
"330","Original vtg 1952 Coca-Cola Cardboard SIGN Piano Keyboard Work Play Glass Button https://t.co/7SgHUxahXZ #CocaCola… https://t.co/cWlCXzAi9x",1
"332","#tomford #auction TOM FORD glasses luxury authentic TOM FORD glasses CHRISTOPHE frame https://t.co/18KHARG0oc",2
"337","#Best #Photography #Nikon #Coolpix S9500 18.1MP #Digital #Camera (Black) Refurbished Bundle https://t.co/nkZQ2y0tyD… https://t.co/wgH3GubAdH",1
"340","#RedWings 2011-12 (RED WINGS) Upper Deck Victory #72 Jonathan Ericsson https://t.co/tYNDCh1iyJ #Bestseller https://t.co/eXgH50VdE4",1
"346","#NHL #Deals: 2011-12 (RED WINGS) Upper Deck Victory #72 Jonathan Ericsson https://t.co/qfpVIqKP3N #RedWings https://t.co/iNJ2a7eocu",1
"356","#TakeTheCrown #BeRoyal #KCRoyals Kansas City Royals 2017 On Field Therma Base Premier Dugout Jacket XXL https://t.co/G2iPLY8UxK",1
"361","Check out what I found. Oscar Black Plated Cubic Zirconia Holy Cross Pendant for Men / Women NK2059 https://t.co/ftMwEgbIr4 via @eBay_UK",1
"362","Fitbit - Blaze Smart Fitness Watch Activity Tracker (Small) - Plum (Purple) <U+2192> $149.99 <U+2192> https://t.co/a5f5h6UVB7 <U+2192>… https://t.co/sMtCoO19zR",1
"366","https://t.co/WE6DiPkIeE Adidas EQT Support 93/17 Black/White Sz 9.5 BB1236 pk og milled leather future",1
"368","https://t.co/DCB0TqubIf Adidas Yeezy 350 Boost V2 Sample Triple Black 10",1
"369","Vintage sterling loaded charm bracelet, western themes, etc. https://t.co/TB8qeIpKpa",1
"370","https://t.co/QnOtIHciaP SUPREME X NIKE AIR MORE UPTEMPO SUPTEMPO RED WHITE SS17 SIZE 9",1
"376","Wow! another great item, available on eBay https://t.co/WMcO7sbpYK",3
"380","https://t.co/J831b39GcG Nike Air Jordan 7 VII Retro Black Gold GMP Golden Moments Size 13. 535357-935",2
"382","https://t.co/KHrpSNwyK1 Nike Kobe 11 XI Elite Low 4KB Red Horse Size 10. 824463-606 Jordan FTB Prelude",1
"383","https://t.co/examm9bRmb Nike Kobe 11 XI Elite Low 4KB Red Horse Size 13.5. 824463-606 Jordan FTB Prelude",1
"388","https://t.co/q9BbA3ZdpV Nike Kobe 11 XI Elite Low 4KB Red Horse Size 11. 824463-606 Jordan FTB Prelude",1
"389","Buy 1 get 1 free! Primary Choice Rubber Bands 60 count assorted colors NEW #School #Office  https://t.co/O3MG77Xxai via @eBay #organizing",1
"396","Wow! another great item, available on eBay https://t.co/vgtgHuDgHc",3
"397","RT @ebooksolutions: ""No man can become great in outward personality until he is great internally"" - Wallace D. Wattles - https://t.co/zdzdF…",2
"398","<ed><U+00A0><U+00BD><ed><U+00B1><U+0089>Check what I found <U+2764><U+FE0F>Summer of Love Special<U+2764><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B1><U+0089> RetroMatica <ed><U+00A0><U+00BD><ed><U+00B1><U+0088>1960s 2-Tier Occasional Table https://t.co/X0lUDuhvhd via @eBay_UK",1
"399","#Vintage #Retro #Upcycled #Handcrafted Traders DUAL LIST your #Etsy #eBay #ASOS #Depop items for FREE &gt;… https://t.co/HtoQZpsxSe",1
"401","Wow! another great item, available on eBay https://t.co/HpFU011BjM",3
"402","Classic British Knits 40 Traditional Patterns from BRITISH ISLES MAdeline Weston      https://t.co/FClUnH3iis https://t.co/33o106Cezd",1
"413","RT @romero: Wow, that's my writing on those disks. Must be from someone at Apogee back in 1990. Probably for marketing. https://t.co/nGWV3s…",1
"414","Another great item from carakco on eBay https://t.co/M7d2wTo4Ls",1
"417","THE BEST TRADING SYSTEM FOR FOREX!!! GUARANTEE STABLE PROFIT!!!  #mt5 https://t.co/RRT1TjJ9DE",3
"423","Lovely #GiftIdeas Simulated Diamond 18K Yellow Gold Plated Aqua Blue Ring https://t.co/mLgtwgn17D Fashion1 Jewelry #Fashion #Rings #eBay",2
"424","# Old WW1 Portable Machine Gun Gunner Vintage Antique Military Photograph https://t.co/genlhwjTMF https://t.co/iswxdlQdYz",1
"429","https://t.co/zOZkELf1eI Hacienda waxed 3+3 Chest of Drawers - 6 Wide Draws - Solid  £202.80 #Furniture https://t.co/PJLE8Bzpau",1
"431","Ideal gift for a Star Wars fan: https://t.co/THIBkSFNOh #starwars #yoda #usetheforce #jedi #atsopro #present… https://t.co/1XQ0Mh98IH",1
"433","Check out what I found. Oscar Gold Plated Cubic Zirconia Holy Cross Pendant for Men / Women NK2059 https://t.co/ItI9izrh8V via @eBay_UK",2
"434","WOW! CHECK OUT THIS ITEM ON MY EBAY! ALWAYS AUTHENTIC ALWAYS AFFORDABLE! https://t.co/qM5gs6oC3w",3
"441","Vintage CHINESE ERHU PLAYER Toy Do 10"" Plays Butterfly Lover - Rare https://t.co/XrWUyOE43u https://t.co/oHZ3nEKSrV",1
"442","# Marvel Universe II Tin 1991 Tin Trading Cards BRAND NEW IN WRAP https://t.co/rARCnFnlbJ https://t.co/wHGcBQR7tA",1
"445","# Vintage Antique GE Fan. Excellent 12"" Desk Fan, Just Reworked. 2 Speeds. 1930s https://t.co/CJo470xkhh https://t.co/u3UK1dRRiK",1
"457","# AUTHENTIC COACH Shoes Ballet Flats Round toe SIZE 10 https://t.co/nui5rJAbXG https://t.co/k1UDVxRsEc",1
"466","Black 2pin 10Amp 240V Mains Plug Tops (Qty 5) - part # ACP2124-5 https://t.co/y0v4fhRqYB https://t.co/DmAtEYPjDO",1
"470","WITCHBLADE TOP COW IMAGE NO. #79 TURNER - Near Mint Condition - Unread copy https://t.co/9csBYxCjd5 #forsale https://t.co/e9Y7kK4hkV",1
"480","# Levi's Jeans Pants Classic Capris Crop NWT Womens Sz 6 x 25 #121 NEW https://t.co/AKNFPtAbE8 https://t.co/UqQ4czHBRX",1
"488","# Victoria Secret White Bikini Top Padded With Multicolored Backstrap's Size XS https://t.co/qwMXwqdZYf https://t.co/q3Ew5f9Sll",1
"492","RT @Ken_Go_101: SPECIAL PRICE! APMEX Gold Bar. 14% OFF  (177 sold in 24 hours)   https://t.co/BotH0tFu0p #us #UK #USA #newyork #Washington…",1
"495","8D Quad-Row 1800W 52Inch Curved CREE LED Light Bar Flood Spot Driving VS 50'' 54  via eBay https://t.co/YoBACEHAqW https://t.co/iMnfOGqX7Z",1
"496","RT @xSmallTownDeals: Iz Byer Pink #floral top XS #dressforsuccess #izbyer  https://t.co/JnlBWIJeVY",1
"498","# 2 Victoria Secret Bathing Suit Tops https://t.co/j1otoRjsxR https://t.co/rNAmJzJtN5",1
"503","#iWatch #AppleWatch Sport 42mm Gold Aluminum Case *Watch Only* *Tested, Works 100%* https://t.co/DuQUwXIuuZ #Apple… https://t.co/qoV9SGY19B",2
"505","#Top #iWatch #AppleWatch #Sport 42mm Gold Aluminum Case *Watch Only* *Tested, Works 100%* https://t.co/ihhGKfu6PG… https://t.co/m6VAj051P1",3
"507","Fine Jewelry On Sale 

https://t.co/kmc504zmcz #jewelry #sale #deals #bargains #giftforher https://t.co/ASbRN1yxh9",1
"510","1Pair Fashion Women Lady Elegant Star Rhinestone Glass Ear Stud Earrings  via eBay https://t.co/Di3SFqgd93 https://t.co/QAxkg44kyR",1
"513","#Top #SmartWatch #AppleWatch #Sport 38mm Rose Gold Aluminum Case *Tested, Works 100%* https://t.co/WbfZCu8Z7u… https://t.co/Eq32uQBbQz",3
"517","#Trending #Shoe: #Adidas #Yeezy #Boost 350 V2 Triple White Cream Core CP9366 Sz US 11.5 In-hand now… https://t.co/oa3Uk7paUc",1
"523","#Adidas #Style: Adidas Yeezy #Boost 350 V2 Cream Mens Size 8.5 CP9366 w/ Receipt Kanye White… https://t.co/5AmaycHkzE",1
"524","#Adidas #Yeezy: Adidas Yeezy Boost 350 v2 Core Black Red CP9652 Size 10.5 https://t.co/06Q7Zv9ylX https://t.co/38iyp7kLdV",1
"525","Check out victoria secret 2 piece bikini Size Small Rose Gold With Sequins On top  https://t.co/cLz2IBfsdq @eBay",2
"526","#Sporting #iWatch #AppleWatch Series 1 42mm Rose Gold Aluminum Case Midnight Blue Band MNNM2LL/A… https://t.co/nk7G2JHdA4",1
"527","#Shoe #Store: #Adidas #Yeezy #Boost 350 v2 copper https://t.co/LN305oGnTQ #Shoes https://t.co/PZ4cQHuTIS",1
"529","Samsung 43"" Full LED TV 1080p UN43J5000 with Stand - Brand New https://t.co/oR9Mb5LN6L https://t.co/P5EKdlxrUC",1
"531","#Bestseller #Shoe: #Adidas #Yeezy 350 V2 #Boost ""#KanyeWest"" ""Cream/White"", Men's Size 10.5 https://t.co/kWoXGVXwBa https://t.co/7IMa19V2ok",1
"532","#Best #Apple #AppleWatch Series 2 38mm Aluminum Case Pearl Classic Buckle - (MNNX2LL/A) https://t.co/lmFEOBZi5a… https://t.co/Ghq2HHs9YQ",1
